chrAll chrX chrY Label
Chondrocyte_day01_Maass.run1 0.0270789003139987 0.0256165026482321 0.0079310763905726 female
Chondrocyte_day01_Maass.run10 0.0419846320255937 0.0399504693945776 0.0120603560373992 female
Chondrocyte_day01_Maass.run11 0.0420720394744405 0.0400449382195609 0.012025966925118 female
Chondrocyte_day01_Maass.run12 0.0387176635758528 0.0367728472718642 0.0109183509337264 female
Chondrocyte_day01_Maass.run13 0.0295441571186913 0.0292917443212563 0.00873614508011587 female
Chondrocyte_day01_Maass.run14 0.0295382987260549 0.0292922057387584 0.00872779244003947 female
Chondrocyte_day01_Maass.run15 0.0295783448243415 0.0293219479419161 0.00875870419797927 female
Chondrocyte_day01_Maass.run16 0.0276514367039071 0.0273842635932074 0.00809608471743833 female
Chondrocyte_day01_Maass.run17 0.0388206699720683 0.0384438963901098 0.0115670085744743 female
Chondrocyte_day01_Maass.run18 0.0388556540720971 0.038492716925265 0.0115991085740986 female
Chondrocyte_day01_Maass.run19 0.0388998528629423 0.0385075848225557 0.0116587652963182 female
Chondrocyte_day01_Maass.run2 0.027091742641648 0.0256334597414351 0.0079128333858868 female
Chondrocyte_day01_Maass.run20 0.0374485893283575 0.0369799788702827 0.0110827651397499 female
Chondrocyte_day01_Maass.run21 0.0407414682500468 0.0408494196345131 0.0117065920241199 female
Chondrocyte_day01_Maass.run22 0.0407468221166419 0.0407992853411921 0.0117437071026185 female
Chondrocyte_day01_Maass.run23 0.0408047261624226 0.0409391461129469 0.0116938708484387 female
Chondrocyte_day01_Maass.run24 0.0387129798671664 0.0386702216749013 0.0110442521298577 female
Chondrocyte_day01_Maass.run3 0.0271485376474721 0.0256756986686087 0.00794201520372707 female
Chondrocyte_day01_Maass.run4 0.0253307576344745 0.0238754077897336 0.0073714320313088 female
Chondrocyte_day01_Maass.run5 0.0402715229779511 0.0379266281445002 0.0118148093881228 female
Chondrocyte_day01_Maass.run6 0.0402089071316327 0.0377597295888363 0.0118145298018441 female
Chondrocyte_day01_Maass.run7 0.0402688458685733 0.0379407334211971 0.011786396432549 female
Chondrocyte_day01_Maass.run8 0.0385033151919023 0.0361416665804179 0.0111991429282626 female
Chondrocyte_day01_Maass.run9 0.0419946061036356 0.0399892156476031 0.0119979209265349 female
Chondrocyte_day03_Maass.run1 0.0372320829209097 0.0355082428872252 0.00996265513652853 female
Chondrocyte_day03_Maass.run10 0.0376295729007269 0.0359664753268687 0.0098439008646468 female
Chondrocyte_day03_Maass.run11 0.0377255982782299 0.0360435064154176 0.00984070309658407 female
Chondrocyte_day03_Maass.run12 0.0358319147395739 0.0341825391350133 0.00928471083308587 female
Chondrocyte_day03_Maass.run13 0.0429626159713932 0.0441011569435051 0.0125801593519469 female
Chondrocyte_day03_Maass.run14 0.0430387196875651 0.0441145700939487 0.0126337525467471 female
Chondrocyte_day03_Maass.run15 0.043170768840306 0.0443396521149151 0.0126636682785689 female
Chondrocyte_day03_Maass.run16 0.0421822271001027 0.0432117106223981 0.0122551053546626 female
Chondrocyte_day03_Maass.run17 0.0378170004994129 0.0389075889368617 0.0110228987278213 female
Chondrocyte_day03_Maass.run18 0.0377990242570992 0.038806512869591 0.0110437453797275 female
Chondrocyte_day03_Maass.run19 0.0379439758279005 0.0389506097103583 0.0110355674810753 female
Chondrocyte_day03_Maass.run2 0.0373072341260526 0.0355900355480529 0.0100298956365581 female
Chondrocyte_day03_Maass.run20 0.0367220027958466 0.0376782253139473 0.0106026456026364 female
Chondrocyte_day03_Maass.run21 0.0443934933751835 0.0455710728908598 0.0125243294669172 female
Chondrocyte_day03_Maass.run22 0.04443717531219 0.0456802301729941 0.0125229140613813 female
Chondrocyte_day03_Maass.run23 0.0445830606855863 0.0457380034894058 0.0125531268536243 female
Chondrocyte_day03_Maass.run24 0.0427973638663327 0.0438779590440057 0.0119577478731129 female
Chondrocyte_day03_Maass.run3 0.0373819997216623 0.0356819088995869 0.00999802280078527 female
Chondrocyte_day03_Maass.run4 0.0354448532114901 0.0337079840512322 0.00947049591528813 female
Chondrocyte_day03_Maass.run5 0.07972441943732 0.0726361381098207 0.0242234250839392 female
Chondrocyte_day03_Maass.run6 0.0800317650644327 0.07291172612154 0.024278381261848 female
Chondrocyte_day03_Maass.run7 0.0801101178163527 0.0729976010455467 0.0242639301460672 female
Chondrocyte_day03_Maass.run8 0.07839109300669 0.0712901255789387 0.0235307675525795 female
Chondrocyte_day03_Maass.run9 0.0375630415039025 0.0359189941841849 0.00980799150197507 female
Chondrocyte_day07_Maass.run1 0.0427402452909865 0.0399375368873653 0.0121275266408591 female
Chondrocyte_day07_Maass.run10 0.0573378684935677 0.0529458896015689 0.0155211274176896 female
Chondrocyte_day07_Maass.run11 0.0574792062098593 0.0530759708857091 0.0155700375423213 female
Chondrocyte_day07_Maass.run12 0.0566926833316739 0.0523751417857479 0.0151243245916315 female
Chondrocyte_day07_Maass.run13 0.0553600109975147 0.0561196409441256 0.0165633726422904 female
Chondrocyte_day07_Maass.run14 0.0554579960065116 0.0562110464695809 0.0166471611551911 female
Chondrocyte_day07_Maass.run15 0.055481314162378 0.0562463128656113 0.0166320809702832 female
Chondrocyte_day07_Maass.run16 0.0546247778147184 0.0553098340021697 0.0161721091193793 female
Chondrocyte_day07_Maass.run17 0.0437675210606053 0.0399145813666347 0.0120262814596815 female
Chondrocyte_day07_Maass.run18 0.0438915527048393 0.0399896834736817 0.0120291122707535 female
Chondrocyte_day07_Maass.run19 0.0438961751109867 0.0400339218766978 0.0119985849439469 female
Chondrocyte_day07_Maass.run2 0.0428046322050383 0.0400410866651335 0.0121302176587917 female
Chondrocyte_day07_Maass.run20 0.0425234912726505 0.0387248676060209 0.0116075136366023 female
Chondrocyte_day07_Maass.run21 0.0509596843788123 0.0469964876835653 0.0132743546078396 female
