chrAll chrX chrY Label
Bladder_Schmitt_run1 0.0751225463399193 0.0452164094547138 0.0298640957310408 male
Bladder_Schmitt_run2 0.00742333854412707 0.00458022238336943 0.00312177301735541 male
Bladder_Schmitt_run3 0.0447692068401655 0.0279657970431405 0.0183826405578515 male
H1hESC_Dixon_run1 0.125931667381563 0.0915770510032 0.0463836956465708 male
H1hESC_Dixon_run2 0.118088158361058 0.0807614055276987 0.0420958206831463 male
H1hESC_Dixon_run3 0.205076535515248 0.139683228553643 0.0754886622084887 male
H1hESC_Oksuz_run1 0.325255908622868 0.194752337199809 0.106009663375499 male
H1hESC_Oksuz_run2 0.315998219151811 0.192574158203848 0.104927384890616 male
H1hESC_Oksuz_run3 0.321802912216967 0.196508005161083 0.107129231680306 male
Left_ventricle_Leung_run1 0.22835874452757 0.139575327352487 0.082263387224462 male
Left_ventricle_Leung_run2 0.229502969215964 0.140326656034625 0.082711092227388 male
Left_ventricle_Leung_run3 0.103700238438705 0.0632165433298751 0.0366802169904057 male
Liver_Leung_run1 0.181413868786663 0.112579577296067 0.0749606110987193 male
Liver_Leung_run2 0.182900462789539 0.113538486176973 0.0756967093481333 male
Liver_Leung_run3 0.178192607452826 0.110479550889528 0.0736577739882187 male
Mesenchymal_stem_cell_Dixon_run1 0.0561409458039454 0.0374057070103321 0.0210503305102983 male
Mesenchymal_stem_cell_Dixon_run2 0.146418652218593 0.097920054867668 0.0550664222733108 male
Mesenchymal_stem_cell_Dixon_run3 0.164069356270585 0.109175283825435 0.0622743837022867 male
Mesendoderm_cell_Dixon_run1 0.0502908365661939 0.035670591353632 0.0180693990808427 male
Mesendoderm_cell_Dixon_run2 0.118941432863842 0.0793058255657913 0.0412621293483202 male
Mesendoderm_cell_Dixon_run3 0.125568897747967 0.0861879124699973 0.0441729370442471 male
NPC_Dixon_run1 0.0602027570823266 0.0418426015821045 0.0206830764590713 male
NPC_Dixon_run2 0.0856941024514827 0.0565905879993831 0.0285765135468726 male
NPC_Dixon_run3 0.143908313266191 0.0940587465869127 0.0478171694457979 male
Psoas_Schmitt_run1 0.00984609378185307 0.00572304459032999 0.00379608269917486 male
Psoas_Schmitt_run2 0.0101940408478131 0.00582999091359993 0.00375089456687848 male
Psoas_Schmitt_run3 0.0323416145603627 0.0208322824603127 0.0124349492284423 male
Right_ventricle_Schmitt_run1 0.163800013726222 0.099999484109598 0.0600401573266939 male
Right_ventricle_Schmitt_run2 0.146923420170039 0.089708431882552 0.0539037976815832 male
